"Test Case ID","Test Objective","Description","Module","Priority","Test Type","Date","Tester","JIRA issue #","Precondition","Step #","User Action","Expected Result","Actual Result","Post Condition"
"TC_ClientPortalConfig_001","Save a minimal valid configuration","Create a new configuration with only necessary selections using default toggles and save successfully.","Client Portal Configuration","P1","Functional","2025-10-17","Umair","[To be filled]","Admin user logged in; access to Client Portal Configuration list.","1","Open list and click Add","Add Configuration subscreen opens on Summary tab","[Tester to fill]",""
"TC_ClientPortalConfig_001","Save a minimal valid configuration","Create a new configuration with only necessary selections using default toggles and save successfully.","Client Portal Configuration","P1","Functional","2025-10-17","Umair","[To be filled]","Admin user logged in; access to Client Portal Configuration list.","2","Enter Configuration Name: CPC_Minimal_001","Field accepts input","[Tester to fill]",""
"TC_ClientPortalConfig_001","Save a minimal valid configuration","Create a new configuration with only necessary selections using default toggles and save successfully.","Client Portal Configuration","P1","Functional","2025-10-17","Umair","[To be filled]","Admin user logged in; access to Client Portal Configuration list.","3","Choose a valid Login Type","Dropdown selection is applied","[Tester to fill]",""
"TC_ClientPortalConfig_001","Save a minimal valid configuration","Create a new configuration with only necessary selections using default toggles and save successfully.","Client Portal Configuration","P1","Functional","2025-10-17","Umair","[To be filled]","Admin user logged in; access to Client Portal Configuration list.","4","Keep default values for all toggles and lists","No validation errors","[Tester to fill]",""
"TC_ClientPortalConfig_001","Save a minimal valid configuration","Create a new configuration with only necessary selections using default toggles and save successfully.","Client Portal Configuration","P1","Functional","2025-10-17","Umair","[To be filled]","Admin user logged in; access to Client Portal Configuration list.","5","Click Save","Success message; record appears in list","[Tester to fill]",""
"TC_ClientPortalConfig_001","Save a minimal valid configuration","Create a new configuration with only necessary selections using default toggles and save successfully.","Client Portal Configuration","P1","Functional","2025-10-17","Umair","[To be filled]","Admin user logged in; access to Client Portal Configuration list.","6","Reopen the newly saved record","Values match what was entered and defaults","[Tester to fill]","Configuration CPC_Minimal_001 saved and visible in list."
"TC_ClientPortalConfig_002","Save configuration with all feature toggles ON","Enable all toggles and save; verify persistence.","Client Portal Configuration","P1","Functional","2025-10-17","Umair","[To be filled]","Admin logged in.","1","Click Add","Subscreen opens","[Tester to fill]",""
"TC_ClientPortalConfig_002","Save configuration with all feature toggles ON","Enable all toggles and save; verify persistence.","Client Portal Configuration","P1","Functional","2025-10-17","Umair","[To be filled]","Admin logged in.","2","Enter Configuration Name: CPC_AllToggles_ON","Input accepted","[Tester to fill]",""
"TC_ClientPortalConfig_002","Save configuration with all feature toggles ON","Enable all toggles and save; verify persistence.","Client Portal Configuration","P1","Functional","2025-10-17","Umair","[To be filled]","Admin logged in.","3","Select a valid Login Type and User Role","Selections applied","[Tester to fill]",""
"TC_ClientPortalConfig_002","Save configuration with all feature toggles ON","Enable all toggles and save; verify persistence.","Client Portal Configuration","P1","Functional","2025-10-17","Umair","[To be filled]","Admin logged in.","4","Check Patient Search, Current Activity, Client Authorization, Multi Role, Save VOB, Active","All toggles show checked","[Tester to fill]",""
"TC_ClientPortalConfig_002","Save configuration with all feature toggles ON","Enable all toggles and save; verify persistence.","Client Portal Configuration","P1","Functional","2025-10-17","Umair","[To be filled]","Admin logged in.","5","Click Save","Saved successfully","[Tester to fill]",""
"TC_ClientPortalConfig_002","Save configuration with all feature toggles ON","Enable all toggles and save; verify persistence.","Client Portal Configuration","P1","Functional","2025-10-17","Umair","[To be filled]","Admin logged in.","6","Reopen the record","All toggles remain ON","[Tester to fill]","Record saved with all feature toggles ON."
"TC_ClientPortalConfig_003","Save configuration with all feature toggles OFF","Turn all toggles OFF and save; verify persistence.","Client Portal Configuration","P2","Functional","2025-10-17","Umair","[To be filled]","Admin logged in.","1","Click Add","Subscreen opens","[Tester to fill]",""
"TC_ClientPortalConfig_003","Save configuration with all feature toggles OFF","Turn all toggles OFF and save; verify persistence.","Client Portal Configuration","P2","Functional","2025-10-17","Umair","[To be filled]","Admin logged in.","2","Enter Configuration Name: CPC_AllToggles_OFF","Input accepted","[Tester to fill]",""
"TC_ClientPortalConfig_003","Save configuration with all feature toggles OFF","Turn all toggles OFF and save; verify persistence.","Client Portal Configuration","P2","Functional","2025-10-17","Umair","[To be filled]","Admin logged in.","3","Choose valid Login Type and User Role","Selections applied","[Tester to fill]",""
"TC_ClientPortalConfig_003","Save configuration with all feature toggles OFF","Turn all toggles OFF and save; verify persistence.","Client Portal Configuration","P2","Functional","2025-10-17","Umair","[To be filled]","Admin logged in.","4","Uncheck Patient Search, Current Activity, Client Authorization, Multi Role, Save VOB, Active","All toggles show unchecked","[Tester to fill]",""
"TC_ClientPortalConfig_003","Save configuration with all feature toggles OFF","Turn all toggles OFF and save; verify persistence.","Client Portal Configuration","P2","Functional","2025-10-17","Umair","[To be filled]","Admin logged in.","5","Click Save","Saved successfully","[Tester to fill]",""
"TC_ClientPortalConfig_003","Save configuration with all feature toggles OFF","Turn all toggles OFF and save; verify persistence.","Client Portal Configuration","P2","Functional","2025-10-17","Umair","[To be filled]","Admin logged in.","6","Reopen record","All toggles remain OFF","[Tester to fill]","Record saved with all feature toggles OFF."
"TC_ClientPortalConfig_004","Persist Save VOB flag","Toggle Save VOB ON while other toggles remain default; verify persistence.","Client Portal Configuration","P2","Functional","2025-10-17","Umair","[To be filled]","Admin logged in.","1","Click Add","Subscreen opens","[Tester to fill]",""
"TC_ClientPortalConfig_004","Persist Save VOB flag","Toggle Save VOB ON while other toggles remain default; verify persistence.","Client Portal Configuration","P2","Functional","2025-10-17","Umair","[To be filled]","Admin logged in.","2","Enter Configuration Name: CPC_SaveVOB_ON","Input accepted","[Tester to fill]",""
"TC_ClientPortalConfig_004","Persist Save VOB flag","Toggle Save VOB ON while other toggles remain default; verify persistence.","Client Portal Configuration","P2","Functional","2025-10-17","Umair","[To be filled]","Admin logged in.","3","Select any valid Login Type and User Role","Selections applied","[Tester to fill]",""
"TC_ClientPortalConfig_004","Persist Save VOB flag","Toggle Save VOB ON while other toggles remain default; verify persistence.","Client Portal Configuration","P2","Functional","2025-10-17","Umair","[To be filled]","Admin logged in.","4","Check Save VOB","Checkbox shows checked","[Tester to fill]",""
"TC_ClientPortalConfig_004","Persist Save VOB flag","Toggle Save VOB ON while other toggles remain default; verify persistence.","Client Portal Configuration","P2","Functional","2025-10-17","Umair","[To be filled]","Admin logged in.","5","Click Save and reopen","Flag remains ON","[Tester to fill]","Save VOB persisted as ON."
"TC_ClientPortalConfig_005","Create an inactive configuration","Keep Active unchecked and save; ensure status is inactive in list and detail.","Client Portal Configuration","P1","Functional","2025-10-17","Umair","[To be filled]","Admin logged in; list shows status column or indicator.","1","Click Add","Subscreen opens","[Tester to fill]",""
"TC_ClientPortalConfig_005","Create an inactive configuration","Keep Active unchecked and save; ensure status is inactive in list and detail.","Client Portal Configuration","P1","Functional","2025-10-17","Umair","[To be filled]","Admin logged in; list shows status column or indicator.","2","Enter Configuration Name: CPC_Inactive_001","Input accepted","[Tester to fill]",""
